2.92642	2.94797	2.96045	2.98668	3.00028	3.01431	3.00800	3.01653
2.87802	2.91057	2.94366	2.95240	2.97413	2.98290	2.97922	2.96963
2.93124	2.94928	2.95569	2.96150	2.98554	2.99399	2.98858	2.99967
2.91105	2.92873	2.95973	2.97905	2.98825	2.99838	2.99169	3.00784
2.87105	2.90772	2.90942	2.93038	2.95391	2.96044	2.95987	2.97818
2.91598	2.94056	2.95159	2.95457	2.98447	2.97520	2.97256	3.00325
2.86968	2.90172	2.90855	2.93677	2.94445	2.96275	2.97167	2.96953
2.88726	2.90652	2.92922	2.93338	2.94335	2.96370	2.96972	2.97085
2.94061	2.96882	2.97682	2.98314	2.98939	3.00291	3.00272	3.00307
2.94557	2.95376	2.97098	2.96578	3.01532	3.00386	3.00106	2.98814
2.94005	2.94042	2.95907	2.95996	2.99096	2.97215	2.98611	2.98476
2.92126	2.95254	2.95157	2.96626	2.99508	2.98774	2.98936	3.00042
2.91011	2.94197	2.93374	2.96072	2.97140	2.97187	2.98652	2.97731
2.92489	2.94035	2.96890	2.96258	2.97644	2.99590	2.99671	2.98864
2.90844	2.91726	2.96247	2.94363	2.96165	2.97809	2.96888	2.98568
2.92963	2.94976	2.96191	2.95777	2.97021	2.99100	2.97344	2.99517
2.95040	2.96790	2.96273	2.97285	2.97283	2.98753	2.99992	3.01866
2.87835	2.92588	2.92743	2.95568	2.96308	2.97220	2.96682	2.97860
2.88617	2.91210	2.91184	2.94175	2.95760	2.94372	2.96333	2.96312
2.89661	2.90036	2.92769	2.96229	2.97787	2.98432	2.96664	2.96900
2.85671	2.89997	2.92391	2.94497	2.96839	2.97331	2.99295	2.99041
2.93181	2.95628	2.95965	2.95408	2.97139	2.98115	2.96720	2.97240
2.86307	2.89412	2.90858	2.91670	2.95083	2.95388	2.97426	2.95401
2.86755	2.90009	2.92343	2.91763	2.94334	2.96040	2.95078	2.96158
2.92636	2.94371	2.95200	2.95211	2.98551	2.98425	2.98793	2.97045
2.91653	2.93116	2.95286	2.95115	2.99857	2.98616	2.99338	2.99799
2.92437	2.93046	2.94693	2.95999	2.98102	2.98054	2.99247	2.98645
2.87221	2.91669	2.94396	2.94806	2.97559	2.97858	2.97232	2.97424
2.78961	2.81888	2.86476	2.88211	2.92242	2.91085	2.94222	2.93978
2.90081	2.92945	2.96677	2.96300	2.96364	2.99583	3.01372	3.00145
2.91273	2.91426	2.92697	2.94270	2.94647	2.96710	2.96659	2.98383
2.87154	2.90894	2.95550	2.97179	2.96946	2.98179	2.98664	3.00353
